epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,4185.01,0.73454,5.16318,0.73389,0.5791,1.43609,0.94836,0.959,0.98446,0.67741,0.66232,0.636,0.5433,0.18782,0.77595,5.01553,0.65904,0.56334,1.48697,0.00180082,0.00180082,0.00180082
84,4234.95,0.73557,5.1451,0.73468,0.57907,1.44001,0.94586,0.96081,0.98428,0.67882,0.66551,0.637,0.55025,0.19053,0.77301,5.00242,0.65805,0.56239,1.48419,0.00170083,0.00170083,0.00170083
85,4284.81,0.73493,5.12978,0.7305,0.57517,1.43562,0.94923,0.962,0.98365,0.67978,0.65991,0.653,0.56101,0.1925,0.77241,4.99557,0.65786,0.5611,1.48298,0.00160084,0.00160084,0.00160084
86,4334.57,0.73028,5.10231,0.73633,0.57379,1.42965,0.94631,0.96,0.98393,0.67955,0.65607,0.651,0.55849,0.19279,0.77209,4.991,0.65775,0.5606,1.4823,0.00150085,0.00150085,0.00150085
87,4384.6,0.72521,5.09247,0.73301,0.56857,1.42383,0.93987,0.96906,0.98447,0.68,0.67045,0.65,0.56271,0.1952,0.77236,4.96866,0.65711,0.5594,1.48285,0.00140086,0.00140086,0.00140086
88,4434.32,0.72267,5.05571,0.73231,0.5647,1.42343,0.94749,0.957,0.98366,0.68159,0.65733,0.658,0.56305,0.19564,0.77272,4.95755,0.65699,0.55664,1.48355,0.00130087,0.00130087,0.00130087
89,4484.14,0.72161,5.01841,0.73205,0.56,1.42023,0.94739,0.961,0.98392,0.68008,0.66084,0.65664,0.55861,0.19472,0.77256,4.95198,0.65706,0.55584,1.4823,0.00120088,0.00120088,0.00120088
90,4534.53,0.7206,5.00279,0.73194,0.56134,1.41852,0.94235,0.96434,0.98398,0.68019,0.67349,0.64975,0.55899,0.19581,0.77135,4.94928,0.65722,0.55514,1.47978,0.00110089,0.00110089,0.00110089
91,4584.43,0.71732,4.96843,0.72958,0.55875,1.40917,0.93886,0.966,0.98401,0.68178,0.6728,0.64772,0.55725,0.19494,0.77219,4.94821,0.6572,0.55379,1.48036,0.0010009,0.0010009,0.0010009
92,4634.54,0.71584,4.97131,0.73344,0.55587,1.40611,0.94522,0.965,0.9841,0.68197,0.67601,0.65307,0.56396,0.19664,0.7712,4.94409,0.65725,0.55247,1.48022,0.00090091,0.00090091,0.00090091
93,4684.3,0.71627,4.96267,0.72923,0.55585,1.4094,0.95002,0.959,0.98411,0.68248,0.67432,0.658,0.56828,0.19782,0.77208,4.93765,0.65708,0.55147,1.4811,0.00080092,0.00080092,0.00080092
94,4734.07,0.71101,4.93062,0.72704,0.55513,1.40518,0.95296,0.957,0.98416,0.68293,0.67897,0.65353,0.56875,0.19825,0.77173,4.93554,0.65671,0.55025,1.48016,0.00070093,0.00070093,0.00070093
95,4784.09,0.71071,4.90011,0.72824,0.55276,1.40325,0.95307,0.957,0.98493,0.68144,0.67985,0.653,0.56915,0.19833,0.77213,4.93446,0.65685,0.54927,1.48086,0.00060094,0.00060094,0.00060094
96,4833.9,0.70927,4.88822,0.72942,0.5477,1.40091,0.95409,0.95595,0.98481,0.68149,0.67872,0.653,0.56724,0.19861,0.77271,4.93094,0.65686,0.54961,1.48173,0.00050095,0.00050095,0.00050095
97,4884.14,0.70912,4.89533,0.72841,0.5532,1.40245,0.95207,0.956,0.98477,0.68091,0.67995,0.65436,0.56948,0.1985,0.77301,4.92979,0.65698,0.54963,1.48197,0.00040096,0.00040096,0.00040096
98,4934.21,0.70542,4.89636,0.726,0.54868,1.39873,0.95234,0.955,0.98486,0.68181,0.67706,0.65202,0.56613,0.19824,0.77248,4.9272,0.65711,0.54986,1.48132,0.00030097,0.00030097,0.00030097
99,4984.28,0.7043,4.87579,0.72567,0.5475,1.39501,0.9483,0.95373,0.98288,0.67995,0.67968,0.656,0.57009,0.19944,0.77258,4.92377,0.6571,0.54969,1.48135,0.00020098,0.00020098,0.00020098
100,5034.12,0.70109,4.85398,0.72815,0.54433,1.39033,0.94551,0.959,0.98333,0.68201,0.67838,0.655,0.56812,0.1989,0.77222,4.92297,0.65723,0.54961,1.48109,0.00010099,0.00010099,0.00010099
